_id,nameEng,nameChi,district,schoolType,level,address,phone,email,country
94aa6a484cc610f4eda7138a,German Swiss International School (German) (Peak Campus),,"Central and Western, Hong Kong",International School,"Primary, Secondary","11&22 Guildford Road, The Peak, Hong Kong",2849 6216,gsis@gsis.edu.hk; info@gsis.edu.hk,Hong Kong
d4f9bfb7afee45432ec5df7d,Harrow International School Hong Kong,,"Tuen Mun, New Territories West",International School,"Primary, Secondary","38 Tsing Ying Road, Tuen Mun, New Territories",2824 9099,info@harrowschool.hk,Hong Kong
d08d288b94c4cc96dcaf3062,Hong Kong Academy,,"Sai Kung, New Territories East",International School,"Primary, Secondary","33 Wai Man Road, Sai Kung, New Territories",2655 1111,office@hkacademy.edu.hk,Hong Kong
a7d4173d0aab7961db8a11f4,Hong Kong International School (Tai Tam Campus),,"Southern, Hong Kong",International School,Secondary,"No. 1 Red Hill Road, Tai Tam, Hong Kong",3149 7000,info@hkis.edu.hk,Hong Kong
b125b9caac9d44b5206b24a1,Hong Kong Japanese School,,"Wan Chai, Hong Kong",International School,"Primary, Secondary","157 Blue Pool Road, Happy Valley, Hong Kong",2574 5479,jimukyoku@hkjs.edu.hk,Hong Kong
7698102fe8455a83f0125d85,International College Hong Kong (New Territories),,"North, New Territories East",International School,Secondary,"60 Sha Tau Kok Road, Sha Tau Kok, New Territories",2655 9018,info@ichk.edu.hk,Hong Kong
21f3295b9a03f96ace906b58,International College Hong Kong Hong Lok Yuen (Primary Section),,"Tai Po, New Territories East",International School,Primary,"3 Twentieth Street, Hong Lok Yuen, Tai Po, New Territories",3955 3000,info@ichkhly.edu.hk,Hong Kong
8f3fedbc9e31004f7caf6673,Japanese International School (English),,"Tai Po, New Territories East",International School,Primary,"No. 4663 Tai Po Road, Tai Po, New Territories",2834 3531,info@es.jis.edu.hk,Hong Kong
ce36d13dd678b428c27bb747,Japanese International School (Japanese),,"Tai Po, New Territories East",International School,Primary,"No. 4663 Tai Po Road, Tai Po, New Territories",2652 2313,jimukyoku@jis.edu.hk,Hong Kong
2080fbbaafd59d25ec759fc5,Kellett School (Pokfulam Campus),,"Southern, Hong Kong",International School,"Primary, Secondary","2 Wah Lok Path, Pok Fu Lam, Hong Kong",3120 0700,communications@kellettschool.com,Hong Kong
e5e9e87f7cb5d08f209507bb,Kiangsu & Chekiang Primary School and Kiangsu-Chekiang College (Braemar Hill Road Campus),,"Eastern, Hong Kong",International School,"Primary, Secondary","20 Braemar Hill Road, North Point, Hong Kong",2570 1285,inter2@kccis.hk (Secondary),Hong Kong
25e1725566cf767ad27d5961,Kingston International School,,"Kowloon City, Kowloon",International School,Primary,"105 and 113 Waterloo Road, Kowloon Tong, Kowloon",2337 9031; 2337 9012,enquiry@kingston.edu.hk,Hong Kong
65ef7a61e84bc87ba4116999,Korean International School (English),,"Eastern, Hong Kong",International School,"Primary, Secondary","55 Lei King Road, Sai Wan Ho, Hong Kong",2569 5500,enquiry@kis.edu.hk,Hong Kong
7d9bcc45ecf5e341962f2461,Korean International School (Korean),,"Eastern, Hong Kong",International School,"Primary, Secondary","55 Lei King Road, Sai Wan Ho, Hong Kong",2570 5500,enquiry@kis.edu.hk,Hong Kong
d7f620c7f9ff97618c9a33fd,Lantau International School (Tong Fuk Campus),,"Islands, New Territories West",International School,Primary,"113 Tong Fuk Village, Lantau Island",2980 3676,admin@lis.edu.hk,Hong Kong
6255fbe39f4703c4cca1a0af,Malvern College Hong Kong,,"Tai Po, New Territories East",International School,"Primary, Secondary","3 Fo Chun Road, Pak Shek Kok, New Territories",3763 0111,info@malverncollege.org.hk,Hong Kong
e0081436c081a91f052c58d6,"Nord Anglia International School, Hong Kong (Kwun Tong Campus)",,"Kwun Tong, Kowloon",International School,"Primary, Secondary","19 Yuet Wah Steet, Kwun Tong, Kowloon",3958 1488,lamtinreception@nais.hk,Hong Kong
b6b369cc80be3939af4bf585,Norwegian International School,,"Tai Po, New Territories East",International School,Primary,"170 Kam Shan Road, Tai Po, New Territories",2658 0341,office@nis.edu.hk,Hong Kong
5fd78c315ce016c81728cd58,Sear Rogers International School,,"Tsuen Wan, New Territories West",International School,Secondary,"Portion A, 4/F, Podium E, Riviera Gardens, Tsuen Wan, New Territories",2547 5479,enquiry@sris.edu.hk,Hong Kong
554c1d2832ac9da0847c164a,Shrewsbury International School Hong Kong,,"Sai Kung, New Territories East",International School,Primary,"10 Shek Kok Road, Tseung Kwan O, New Territories",2480 1500,schooloffice@shrewsbury.edu.hk,Hong Kong
c146332a2862716de6f87d04,Singapore International School (Hong Kong) (Police School Road Campus),,"Southern, Hong Kong",International School,"Primary, Secondary","2 Police School Road, Wong Chuk Hang, Hong Kong",2872 0266,general@singapore.edu.hk,Hong Kong
f29fb80b6d9458ab5027d69b,"The Harbour School (Ap Lei Chau Estate, The Grove Campus)",,"Southern, Hong Kong",International School,"Primary, Secondary","332 Ap Lei Chau Bridge Road, Ap Lei Chau, Hong Kong",3905 0180,admissions@theharbourschool.edu.hk,Hong Kong
96539e5bbed0bfa0ee8762f0,The International Montessori School - an IMEF School (South Horizons Campus),,"Southern, Hong Kong",International School,"Primary, Secondary","G/F Block 23, South Horizons, Ap Lei Chau, Hong Kong",2772 2468,info@ims.edu.hk,Hong Kong
23ea60724a77ac583322eaec,Think International School,,"Kowloon City, Kowloon",International School,Primary,"G/F - 1/F, 117 Boundary Street, Kowloon",2338 3949,office@tis.edu.hk,Hong Kong
19c455430c35d8306ff653a9,Yew Chung International School (Somerset Road Campus),,"Kowloon City, Kowloon",International School,Primary,"22 Somerset Road, Kowloon Tong",2338 7106,Enquiry@hk.ycef.com,Hong Kong
0b8eabfaef9450eb7bdab3f4,(ESF) Beacon Hill School,,"Kowloon City, Kowloon",International School,Primary,"23 Ede Road, Kowloon Tong, Hong Kong",2336 5221,bhs@bhs.edu.hk,Hong Kong
05aca07404ef4b9940250284,(ESF) Bradbury School,,"Wan Chai, Hong Kong",International School,Primary,"43C Stubbs Road, Mid-levels, Hong Kong",2574 8249,enquiries@bradbury.edu.hk,Hong Kong
c2fe5f2f09f1e9a439dd70bf,(ESF) Clearwater Bay School,,"Sai Kung, New Territories East",International School,Primary,"DD 229, Lot 235, Clearwater Bay Road, Sai Kung, New Territories",2358 3221,info@cwbs.edu.hk,Hong Kong
9980959c31e9db4314a7615f,(ESF) Glenealy School,,"Central and Western, Hong Kong",International School,Primary,"7 Hornsey Road, Mid-levels, Hong Kong",2522 1919,enquiry@glenealy.edu.hk,Hong Kong
9be0a718efac8e6e9082c0fa,(ESF) Island School,,"Central and Western, Hong Kong",International School,Secondary,"20 Borrett Road, Mid-levels, Hong Kong",2524 7135,school@online.island.edu.hk,Hong Kong
27b100c68bf72d625c1283e0,(ESF) Jockey Club Sarah Roe School,,"Kowloon City, Kowloon",International School,"Primary, Secondary","2B Tin Kwong Road, Homantin, Hong Kong",2761 9893,info@jcsrs.edu.hk,Hong Kong
d80aaa1deed00715d670926a,(ESF) Kennedy School,,"Southern, Hong Kong",International School,Primary,"19 Sha Wan Drive, Sandy Bay, Pok Fu Lam, Hong Kong",2579 5600,office@kennedy.edu.hk,Hong Kong
498722f6ee718d6b6645f2c1,(ESF) King George V School,,"Kowloon City, Kowloon",International School,Secondary,"2 Tin Kwong Road, Homantin, Kowloon",2711 3029,office@kgv.edu.hk,Hong Kong
f5e5a13dcc0e20ca2b4e2dd9,(ESF) Kowloon Junior School,,"Kowloon City, Kowloon",International School,Primary,"20 Perth Street, Homantin, Kowloon",3765 8700,office@kjs.edu.hk,Hong Kong
64c82a10e3d8d4f0d938fb5a,(ESF) Peak School,,"Central and Western, Hong Kong",International School,Primary,"20 Plunkett's Road, The Peak, Hong Kong",2849 7211,office@peakschool.edu.hk,Hong Kong
4c5ac88ec9210becd6c92787,(ESF) Quarry Bay School,,"Eastern, Hong Kong",International School,Primary,"6 Hau Yuen Path, Braemar Hill Road, North Point, Hong Kong",2566 4242,office@qbs.edu.hk,Hong Kong
baf7765831df5f12345db569,(ESF) Shatin College,,"Sha Tin, New Territories East",International School,Secondary,"3 Lai Wo Lane, Fo Tan, Sha Tin, New Territories",2699 1811,info@shatincollege.edu.hk,Hong Kong
a19481ef6d9e51af736090b1,(ESF) Shatin Junior School,,"Sha Tin, New Territories East",International School,Primary,"3A Lai Wo Lane, Fo Tan, Sha Tin, New Territories",2692 2721,info@sjs.esf.edu.hk,Hong Kong
35d6baa5cd40973d7dc85406,(ESF) The South Island School,,"Southern, Hong Kong",International School,Secondary,"50 Nam Fung Road, Aberdeen, Hong Kong",2555 9313,sis@sis.edu.hk,Hong Kong
97f4676d3dfdf0f9dba1dfc7,(ESF) West Island School,,"Southern, Hong Kong",International School,Secondary,"250 Victoria Road, Pok Fu Lam, Hong Kong",2819 1962,wis@wis.edu.hk,Hong Kong
27492844433bd1750c41f84c,Carmel School (Borrett Road Campus),,"Central and Western, Hong Kong",International School,"Primary, Secondary","10-12 Borrett Road, Mid-levels, Hong Kong",2964 1600,admin@carmel.edu.hk,Hong Kong
212a90fd621f8aae56219876,Kellett School (Kowloon Bay Campus),,"Kwun Tong, Kowloon",International School,"Primary, Secondary","7 Lam Hing Street, Kowloon Bay, Kowloon",3120 0700,communications@kellettschool.com,Hong Kong
8559de168b295e66e04ca164,The International Montessori School - an IMEF School (Stanley Campus),,"Southern, Hong Kong",International School,"Primary, Secondary","Ma Hang Estate Phase III, Stanley, Hong Kong",2772 2468,info@ims.edu.hk,Hong Kong
47c225cb201b3d8c5772eb81,The International Montessori School - an IMEF School (Mid-Levels Campus),,"Central and Western, Hong Kong",International School,"Primary, Secondary","Mezzanine, Tung Fai Gardens, 17 Po Yan Street, Sheung Wan, Hong Kong",2772 2468,info@ims.edu.hk,Hong Kong
2322b07f3111770daa782399,The International Montessori School - an IMEF School (Aldrich Bay Campus),,"Eastern, Hong Kong",International School,"Primary, Secondary","2/F, I-Uniq Grand, 155 Shau Kei Wan Road, Hong kong",2772 2468,info@ims.edu.hk,Hong Kong
363d5dbb91fdd102dfa11018,Australian International School Hong Kong,,"Kowloon City, Kowloon",International School,"Primary, Secondary","3A Norfolk Road, Kowloon Tong, Kowloon",2304 6078,info@aishk.edu.hk,Hong Kong
bc580a610d54e81562728d0b,Canadian International School,,"Southern, Hong Kong",International School,"Primary, Secondary","36 Nam Long Shan Road, Aberdeen, Hong Kong",2525 7088,schoolinfo@cdnis.edu.hk,Hong Kong
80b964e722ab936429bbf03b,Lyc'ee Francais International (French International School) (English) (Tseung Kwan O Campus),,"Sai Kung, New Territories East",International School,"Primary, Secondary","28 Tong Yin Street, Tseung Kwan O, New Territories",+852 2577 6217,info@lfis.edu.hk,Hong Kong
b6cf44c592883c9e5f690935,Lyc'ee Francais International (French International School) (English) (Jardine's Lookout Campus),,"Wan Chai, Hong Kong",International School,"Primary, Secondary","34 Price Road, Jardine's Lookout, Wanchai, Hong Kong",+852 2577 6217,info@lfis.edu.hk,Hong Kong
86af18b9f271db5c7901881f,Lyc'ee Francais International (French International School) (French) (Tseung Kwan O Campus),,"Sai Kung, New Territories East",International School,"Primary, Secondary","28 Tong Yin Street, Tseung Kwan O, New Territories",+852 2577 6217,info@lfis.edu.hk,Hong Kong
5bb5b0dc0b2410867f95dc26,Lyc'ee Francais International (French International School) (French) (Jardine's Lookout Campus),,"Wan Chai, Hong Kong",International School,"Primary, Secondary","34 Price Road, Jardine's Lookout, Wanchai, Hong Kong",+852 2577 6217,info@lfis.edu.hk,Hong Kong
963f81947eb5b10cba5ff72e,Lyc'ee Francais International (French International School) (French) (Chai Wan Campus),,"Eastern, Hong Kong",International School,"Primary, Secondary","1 Cheung Man Road, Chai Wan, Hong Kong",+852 2577 6217,info@lfis.edu.hk,Hong Kong
4f43a18db1585cc1b2b3f214,Creative Secondary School,,"Sai Kung, New Territories East",Direct Subsidy Scheme School,Secondary,"3 Pung Loi Road, Tseung Kwan O, New Territories",2336 0233,admin@css.edu.hk,Hong Kong
49de0cd6a1133c024dd2a404,Delia Memorial School (Glee Path),,"Sham Shui Po, Kowloon",Direct Subsidy Scheme School,Secondary,"1-3 Glee Path, Mei Foo Sun Chuen, Kowloon",2741 5239,gp@deliagroup.edu.hk,Hong Kong
4567a1873d160fc17e42cb71,Diocesan Boys' School,,"Yau Tsim Mong, Kowloon",Direct Subsidy Scheme School,Secondary,"131 Argyle Street, Mongkok, Kowloon",2711 5191,dbsadmin@dbs.edu.hk (NSS);  dbsibadm@dbs.edu.hk (IB),Hong Kong
75be680475fee7276b76c77e,Diocesan Girls' School,,"Yau Tsim Mong, Kowloon",Direct Subsidy Scheme School,Secondary,"1 Jordan Road, Kowloon",2277 9100,info@dgs.edu.hk,Hong Kong
c3078ce6b98eba31302c1658,ELCHK Lutheran Academy,,"Yuen Long, New Territories West",Direct Subsidy Scheme School,"Primary, Secondary","25 Lam Hau Tsuen Road, Yuen Long, New Territories",8208 2092,info@luac.edu.hk,Hong Kong
7e48f2ff9f1571ff109aa317,G.T. (Ellen Yeung) College,,"Sai Kung, New Territories East",Direct Subsidy Scheme School,Secondary,"10 Ling Kwong Street, Tiu Keng Leng, Tseung Kwan O, New Territories",2535 6867,secondary@gtcollege.edu.hk,Hong Kong
52e51f1119ea9d10cf1126f7,Hong Kong Baptist University Affiliated School Wong Kam Fai Secondary and Primary School,,"Sha Tin, New Territories East",Direct Subsidy Scheme School,"Primary, Secondary","6 On Muk Lane, Shek Mun, Shatin, New Territories",2637 2277,a-school-ps@hkbuas.edu.hk;  a-school-ss@hkbuas.edu.hk,Hong Kong
4d168cc61db55dcb7adc9d78,HKFYG Lee Shau Kee College,,"Yuen Long, New Territories West",Direct Subsidy Scheme School,Secondary,"12 Tin Kwai Road, Tin Shui Wai, New Territories",2146 1128,hlc@hlc.edu.hk,Hong Kong
b717c1299005334899faf3f3,Li Po Chun United World College of Hong Kong,,"Sha Tin, New Territories East",Direct Subsidy Scheme School,Secondary,"10 Lok Wo Sha Lane, Sai Sha Road, Ma On Shan, Shatin, New Territories",2640 0441,office@lpcuwc.edu.hk,Hong Kong
0007925baa3c3b1166e42750,Po Leung Kuk Ngan Po Ling College,,"Kowloon City, Kowloon",Direct Subsidy Scheme School,Secondary,"26 Sung On Street, To Kwa Wan, Kowloon",2462 3932,info@home.npl.edu.hk,Hong Kong
97cdd18d2cdb59272b172a37,Pui Kiu College,,"Sha Tin, New Territories East",Direct Subsidy Scheme School,Secondary,"1 Tai Wai New Village Road, Tai Wai, Shatin, New Territories",2602 3166,info@puikiu.edu.hk,Hong Kong
a10b2d508ed0c84906c3bbf3,St. Paul’s Co-educational College,,"Central and Western, Hong Kong",Direct Subsidy Scheme School,Secondary,"33 MacDonnell Road, Central, Hong Kong",2523 1187,adminoffice@spcc.edu.hk,Hong Kong
3215bddbb57cb79dbc1cdc78,St. Paul’s College,,"Central and Western, Hong Kong",Direct Subsidy Scheme School,Secondary,"69 Bonham Road, Hong Kong",2546 2241,mail@spc.edu.hk,Hong Kong
ebb1ee4f09bd8f75e8a8a034,St. Paul’s Convent School,,"Wan Chai, Hong Kong",Direct Subsidy Scheme School,Secondary,"140 Leighton Road, Causeway Bay, Hong Kong",2576 1692,spcsmail@spcs.edu.hk,Hong Kong
2c1aa0733b9400056f4c6a00,St. Stephen’s College,,"Southern, Hong Kong",Direct Subsidy Scheme School,Secondary,"22 Tung Tau Wan Road, Stanley, Hong Kong",2813 0360,sschk@ssc.edu.hk,Hong Kong
5d46b864e63b169f144b544a,Stewards Pooi Kei College,,"Sha Tin, New Territories East",Direct Subsidy Scheme School,Secondary,"56 Siu Lek Yuen Road, Shatin, New Territories",2345 4567,info@spkc.edu.hk,Hong Kong
12e5e9c997b58a02106b2d2e,The Hong Kong Chinese Christian Churches Union Logos Academy,,"Sai Kung, New Territories East",Direct Subsidy Scheme School,Secondary,"1 Kan Hok Lane, Tseung Kwan O, New Territories (Secondary Section)",2337 2123,info@logosacademy.edu.hk,Hong Kong
b4da937c28314ed3d4e4d8a1,Tsung Tsin Christian Academy,,"Sham Shui Po, Kowloon",Direct Subsidy Scheme School,Secondary,"8 Lai Hong Street, Cheung Sha Wan, Kowloon",2728 8727,mail@ttca.edu.hk,Hong Kong
b07a568363ca94990c477fdc,YMCA of Hong Kong Christian College,,"Islands, New Territories West",Direct Subsidy Scheme School,Secondary,"2 Chung Yat Street, Tung Chung, Hong Kong",2988 2000,info@yhkcc.edu.hk,Hong Kong
f25f1718f313eaf50b3acc71,United Christian College (Kowloon East),,"Kwun Tong, Kowloon",Direct Subsidy Scheme School,Secondary,"2 Lee On Lane, Kwun Tong, Kowloon",2343 6677,mail@uccke.edu.hk,Hong Kong
227ac4bc34bf060e8b15404f,(ESF) Discovery College,,"Islands, New Territories West",Private Independent School,"Primary, Secondary","38 Siena Avenue, Discovery Bay, Lantau Island, Hong Kong",3969 1000,office@dc.edu.hk,Hong Kong
c413d65dfb9cc26b367ff308,International Christian School,,"Sha Tin, New Territories East",Private Independent School,"Primary, Secondary","1 On Muk Lane, Shek Mun, Shatin, New Territories",3920 0000,info@ics.edu.hk,Hong Kong
4dd4a71c58815f22efcfc305,International Christian Quality Music Secondary and Primary School,,"Wong Tai Sin, Kowloon",Private Independent School,"Primary, Secondary","182 Po Kong Village Road, Diamond Hill, Kowloon",2777 3828,info@icqm.edu.hk,Hong Kong
dcbd823cf61fa9fb93c41b23,Po Leung Kuk Choi Kai Yau School,,"Sham Shui Po, Kowloon",Private Independent School,"Primary, Secondary","6 Caldecott Road, Piper’s Hill, Kowloon",2148 2052,info@cky.edu.hk,Hong Kong
b699d5c93f26240438b6063b,(ESF) Renaissance College,,"Sha Tin, New Territories East",Private Independent School,"Primary, Secondary","5 Hang Ming Street, Ma On Shan, New Territories",3556 3556; 3556 3576,info@rchk.edu.hk,Hong Kong
e59feff8df4ff7e0c5cac5b4,The Independent Schools Foundation Academy,,"Southern, Hong Kong",Private Independent School,"Primary, Secondary","1 Kong Sin Wan Road, Pokfulam, Hong Kong",2202 2000,enquiry@isf.edu.hk,Hong Kong
5cc20b387946a070ca4f8728,Victoria Shanghai Academy,,"Southern, Hong Kong",Private Independent School,"Primary, Secondary","19 Shum Wan Road, Aberdeen, Hong Kong",3402 1000,enquiries@vsa.edu.hk,Hong Kong
134bb6fc290a312e399b1282,Yew Chung International School - Secondary,,"Kowloon City, Kowloon",Private Independent School,Secondary,"3 To Fuk Road, Kowloon Tong",2336 3443,Enquiry@hk.ycef.com,Hong Kong
4a8b80c0c689d2a33af1d2ae,German Swiss International School (English) (Pokfulam Campus),,"Southern, Hong Kong",International School,"Primary, Secondary","162 Pok Fu Lam Road, Pok Fu Lam, Hong Kong",2849 6216,gsis@gsis.edu.hk; info@gsis.edu.hk,Hong Kong
dd7c3a026783122386430150,Lyc'ee Francais International (French International School) (English) (Chai Wan Campus),,"Eastern, Hong Kong",International School,"Primary, Secondary","1 Cheung Man Road, Chai Wan, Hong Kong",+852 2577 6217,info@lfis.edu.hk,Hong Kong
eb012891c7419dff36a65066,Lyc'ee Francais International (French International School) (English) (Blue Pool Road Campus),,"Wan Chai, Hong Kong",International School,"Primary, Secondary","165 Blue Pool Road, Hong Kong",+852 2577 6217,info@lfis.edu.hk,Hong Kong
03a1fc785fb6a6080708929b,Lyc'ee Francais International (French International School) (French) (Blue Pool Road Campus),,"Wan Chai, Hong Kong",International School,"Primary, Secondary","165 Blue Pool Road, Hong Kong",+852 2577 6217,info@lfis.edu.hk,Hong Kong
5c5afa60075e644f585e8c70,Lantau International School (Cheung Sha Campus),,"Islands, New Territories West",International School,Primary,"No. 22, Upper Cheung Sha Village, Cheung Sha, Lantau Island",2984 0302,admin@lis.edu.hk,Hong Kong
4e99b50e062f8429cf4c845d,Lantau International School (Pui O Campus),,"Islands, New Territories West",International School,Primary,"No. 17-19 Lo Wai Tsuen, Pui O, Lantau Island",2984 0302,admin@lis.edu.hk,Hong Kong
0aa53b1a0f6a52f025f66824,German Swiss International School (German) (Pokfulam Campus),,"Southern, Hong Kong",International School,"Primary, Secondary","162 Pok Fu Lam Road, Pok Fu Lam, Hong Kong",2849 6216,gsis@gsis.edu.hk; info@gsis.edu.hk,Hong Kong
3bb7c9afe40aac28d6328cae,Hong Kong International School (Repulse Bay Campus),,"Southern, Hong Kong",International School,Primary,"6 & 23 South Bay Close, Repulse Bay, Hong Kong",2812 5000,info@hkis.edu.hk,Hong Kong
6adcc7058a3c8c0a0bdaf4b7,Kiangsu & Chekiang Primary School and Kiangsu-Chekiang College (Ching Wah Street Campus),,"Eastern, Hong Kong",International School,"Primary, Secondary","30 Ching Wah Street, North Point, Hong Kong",2570 4594; 2570 1108,inter@kcis.edu.hk (Primary),Hong Kong
ee780a02d7f28f614fb2c082,"Nord Anglia International School, Hong Kong (Lam Tin Campus)",,"Kwun Tong, Kowloon",International School,"Primary, Secondary","11 On Tin Street, Lam Tin, Kowloon, Hong Kong",3958 1488,lamtinreception@nais.hk,Hong Kong
47101aa4695b712aacc5b88d,Singapore International School (Hong Kong) (Nam Long Shan Road Campus),,"Southern, Hong Kong",International School,"Primary, Secondary","23 Nam Long Shan Road, Aberdeen, Hong Kong",2872 0266,general@singapore.edu.hk,Hong Kong
32a40d5dd222f80aa45c8c70,"The Harbour School (Ap Lei Chau Centre, The Garden Campus)",,"Southern, Hong Kong",International School,"Primary, Secondary","138 Lee Chi Road, Ap Lei Chau, Hong Kong",3905 0180,admissions@theharbourschool.edu.hk,Hong Kong
dbd23ad7509e5dd2f86fbaa2,Yew Chung International School (11-13 Kent Road Campus),,"Kowloon City, Kowloon",International School,Primary,"11-13 Kent Road, Kowloon Tong",2338 7106,Enquiry@hk.ycef.com,Hong Kong
9ea8fc1b115bd2e730451ac3,Yew Chung International School (2 Kent Road Campus),,"Kowloon City, Kowloon",International School,Primary,"2 Kent Road, Kowloon Tong",2338 7106,Enquiry@hk.ycef.com,Hong Kong
d16482d785253016aa8dd3b5,HKUGA College,,"Southern, Hong Kong",Direct Subsidy Scheme School,Secondary,"9 Nam Fung Road, Wong Chuk Hang, Hong Kong",2870 8815,info@hkugac.edu.hk,Hong Kong
