_id,District,Name (English),Name (Chinese),School Type,Level,Address,Phone,Email,Country,Link
{'$oid': '033794fe707e7f05ea1c347a'},Central & Western,S.K.H. Lui Ming Choi Memorial Primary School,聖公會呂明才紀念小學,Aided,Primary,"31 Ka Wai Man Road, Kennedy Town, Hong Kong",28172305,info@skhlmcmps.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=16&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D1%26sort_id%3D-1
{'$oid': '646d8e0d3a62ccaaa49fbcd1'},Central & Western,S.K.H. St. Matthew's Primary School,聖公會聖馬太小學,Aided,Primary,"12-20, New Street, Sheung Wan, Hong Kong",25483368,info@stmatthew.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=1&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D1%26sort_id%3D-1
{'$oid': '50bc07f4fb7ae23da23fa3e3'},Central & Western,S.K.H. St. Peter's Primary School,聖公會聖彼得小學,Aided,Primary,"70 & 88 Hill Road, Hong Kong",25462624,info@spps.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=17&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D1%26sort_id%3D-1
{'$oid': '087ec5d20731319d79632c7e'},Central & Western,St. Anthony's School,聖安多尼學校,Aided,Primary,"69A Pokfulam Road, Hong Kong",25466263,stanthonys@stanthonys.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=20&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D1%26sort_id%3D-1
{'$oid': '16cfc0a5e0a018d99c02fe00'},Central & Western,St. Charles School,聖嘉祿學校,Aided,Primary,"25 Pokfield Road, Kennedy Town, Hong Kong",28173325,stcharles@mail.stcharles.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=15&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D1%26sort_id%3D-1
{'$oid': 'e334cd09d04584417c23f99c'},Central & Western,St. Stephen's Girls' Primary School,聖士提反女子中學附屬小學,Aided,Primary,"33 Park Road, Hong Kong",25405088,info@ssgps.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=11&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D1%26sort_id%3D-1
{'$oid': '08b28733a406fb2acd584428'},Central & Western,Kau Yan School,救恩學校,Private,Primary,"97B High Street, Sai Ying Pun, Hong Kong",21166198,kys-mail@kauyan.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=19&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D1%26sort_id%3D-1
{'$oid': '6d5af5c8b3b43ddf9703d50b'},Central & Western,"Sacred Heart Canossian School, Private Section",嘉諾撒聖心學校私立部,Private,Primary,"34 Caine Road, Central, Hong Kong",25248301,shcsps@shcsps.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=10&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D1%26sort_id%3D-1
{'$oid': '767f5bffddc710be630074d0'},Central & Western,St. Clare's Primary School,聖嘉勒小學,Private,Primary,"3-6 Prospect Place, Bonham Road, Hong Kong",25472751,info@scps.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=23&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D1%26sort_id%3D-1
{'$oid': 'c7d0a1864b540ed6e7fb4b23'},Central & Western,St. Louis School (Primary Section),聖類斯中學（小學部）,Private,Primary,"Block C, 179 Third Street, Hong Kong",25472306,info@stlouisps.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=18&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D1%26sort_id%3D-1
{'$oid': '4f13847e7062ef853912b5b0'},Eastern,Buddhist Chung Wah Kornhill Primary School,佛教中華康山學校,Aided,Primary,"2 Hong Yue Street, Quarry Bay, Hong Kong",28844115,info@bcwkps.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=30&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': '22087bab50692ea537bada4a'},Eastern,Canossa School (Hong Kong),香港嘉諾撒學校,Aided,Primary,"8 Hoi Chak Street, Quarry Bay, Hong Kong",25610115,info@canossahk.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=33&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': '3e82feaaa289e3991f9e759b'},Eastern,Chan's Creative School (H.K. Island),啟基學校（港島）,Aided,Primary,"82 Marble Road, North Point, Hong Kong",25610821,ccshki@ccshki.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=35&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': '22d31ad5f6ebe9aea7261170'},Eastern,Chinese Methodist School (North Point),北角循道學校,Aided,Primary,"15 Pak Fuk Road, North Point, Hong Kong",25619693,info@cmsnp.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=29&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': '4b164e4e713985965d5f65a6'},Eastern,"Chinese Methodist School, Tanner Hill",丹拿山循道學校,Aided,Primary,"4 Pak Fuk Road, North Point, Hong Kong",25615822,info@cmsth.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=34&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': 'f584386b73ad501d5491662c'},Eastern,North Point Government Primary School,北角官立小學,Gov't,Primary,"888 King's Road, North Point, Hong Kong",25617130,npgps@edb.gov.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=36&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': '95185cc2d513414c458d9d01'},Eastern,North Point Methodist Primary School,北角衞理小學,Aided,Primary,"2A Pak Fuk Road, North Point, Hong Kong",25703623,npm-info@npmps.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=27&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': '2c0f5231085f33110c96936e'},Eastern,Pun U Association Wah Yan Primary School,番禺會所華仁小學,Aided,Primary,"2 Pak Fuk Road, North Point, HK",25722140,school@puwy.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=416&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': '5cb85279d0cb1c8d51038988'},Eastern,Shanghai Alumni Primary School,滬江小學,Aided,Primary,"14 Hong Shing Street, Kornhill, Quarry Bay, HK",28844775,sap-mail@sap.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=38&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': 'a14e256c267e2d30b59a585f'},Eastern,S.K.H. St. Michael's Primary School,聖公會聖米迦勒小學,Aided,Primary,"23 Fortress Hill Road, North Point, Hong Kong",25709473,info@skhsms.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=26&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': '203d172fa166a247d5c0e2ef'},Eastern,Taikoo Primary School,太古小學,Aided,Primary,"1100 King's Road, Hong Kong",25615555,taikoo@tps.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=39&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': 'af8310f5d16e27c98cc46d4a'},Eastern,Aldrich Bay Government Primary School,愛秩序灣官立小學,Gov't,Primary,"1 Oi Lai Street, Shau Kei Wan, Hong Kong",25611118,abgps@edb.gov.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=40&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': '79957ab95c6996a43dd57157'},Eastern,C.C.C. Kei Wan Primary School,中華基督教會基灣小學,Aided,Primary,"63 Sai Wan Ho Street, Shau Kei Wan, Hong Kong",25608007,info@keiwan.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=41&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': '48455e549ee980af30b70928'},Eastern,C.C.C. Kei Wan Primary School (Aldrich Bay),中華基督教會基灣小學（愛蝶灣）,Aided,Primary,"39 Oi Shun Road, Shaukeiwan, Hong Kong",29154140,school@ccckeiwan.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=25&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': '30bcd9d245316f8e5cc44b67'},Eastern,Meng Tak Catholic School,天主教明德學校,Aided,Primary,"11 Cheung Man Road, Chai Wan, Hong Kong",25572244,mtcs@mengtak.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=43&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': '5a4ee9adfb770fb89e445a2d'},Eastern,Pui Kiu Primary School,培僑小學,Aided,Primary,"12 Fu Yee Road, Siu Sai Wan, Chai Wan, Hong Kong",28977866,puikiu@pkps.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=44&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': 'ac6ca74df72a3e8255b66454'},Eastern,Salesian School,慈幼學校,Aided,Primary,"16 Chai Wan Road, Shaukeiwan, Hong Kong",28850032,mail@salesian.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=24&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': '64568a6b6b17ed00ca446122'},Eastern,Shau Kei Wan Government Primary School,筲箕灣官立小學,Gov't,Primary,"19 Main Street, East Shaukeiwan, Hong Kong",25692532,skwgps@edb.gov.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=46&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': '6417f6bb75597ffe7444b3ed'},Eastern,Shaukiwan Tsung Tsin School,筲箕灣崇真學校,Aided,Primary,"3 Basel Road, Shaukiwan, Hong Kong",25606272,info@skwtts.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=47&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': 'ad35b4225dcecbcad3200035'},Eastern,S.K.H. Chai Wan St. Michael's Primary School,聖公會柴灣聖米迦勒小學,Aided,Primary,"380 Chai Wan Road, Chai Wan, Hong Kong",31028101,info@skhcwsms.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=45&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': 'd1d2417d056c8127baa73b8f'},Eastern,The ELCHK Faith Love Lutheran School,基督教香港信義會信愛學校,Aided,Primary,"Estate School No.2, Yue Wan Estate, Chai Wan, HK",25562442,elchk@cwflls.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=42&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': 'c8244e3fbcc1b9d469a252fa'},Eastern,The Endeavourers Leung Lee Sau Yu Memorial Primary School,勵志會梁李秀娛紀念小學,Aided,Primary,"25 Yiu Hing Road, Shaukeiwan, HK",29679622,llsy@llsy.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=32&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': 'f820ed9cb5ff7cefa8ac8880'},Eastern,The H.K.C.W.C. Hioe Tjo Yoeng Primary School,香港中國婦女會丘佐榮學校,Aided,Primary,"61 Sai Wan Ho Street, Shaukiwan, Hong Kong",25602051,info@hkcwc-htyps.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=49&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': '4cce057b2fcb6a514330fdca'},Eastern,The Salvation Army Ann Wyllie Memorial School,救世軍韋理夫人紀念學校,Aided,Primary,"100 Shing Tai Road, Heng Fa Chuen, Hong Kong",25582111,info@annwyllie.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=50&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': 'efa7cb3c0deb547721079a20'},Eastern,The Salvation Army Centaline Charity Fund School,救世軍中原慈善基金學校,Aided,Primary,"9 Wah Ha Street, Chai Wan, Hong Kong",25562292,info@saccf.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=54&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': 'e670f872df2c4d20fd25cbad'},Eastern,HKUGA Primary School,港大同學會小學,DSS,Primary,"9 Yee Shing Street, Chai Wan, Hong Kong",22023922,info@hkugaps.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=51&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': '30700ca7c413b30d8062294e'},Eastern,Hon Wah College (Primary Section),漢華中學（小學部）,DSS,Primary,"3 Harmony Road, Siu Sai Wan, Hong Kong",28171746,info@honwah.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=55&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': '3e2eda28c459a5bae1adc006'},Eastern,Kiangsu & Chekiang Primary School,蘇浙小學校,Private,Primary,"30 Ching Wah Street, North Point, Hong Kong",25704436,enquiry@kcs.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=53&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D2%26sort_id%3D-1
{'$oid': 'd0719b9b1c471f4badb03f46'},Islands,Northern Lamma School,南丫北段公立小學,Aided,Primary,"No 1 Yung Shue Ling, Yung Shue Wan, Lamma Island, N.T.",29820242,enquiry@nls.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=60&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D3%26sort_id%3D-1
{'$oid': '04be882a4cf59830e647ab90'},Islands,C.C.C. Cheung Chau Church Kam Kong Primary School,中華基督教會長洲堂錦江小學,Aided,Primary,"No.1 Peak Road West, Cheung Chau, N.T.",29810435,info@ccckamkongsch.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=69&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D3%26sort_id%3D-1
{'$oid': 'c18ca1311f009a9773b203a0'},Islands,Cheung Chau Sacred Heart School,長洲聖心學校,Aided,Primary,"C C Lot Nos 916 & 1092, Church Road, Cheung Chau, N.T.",29810330,ccshs@ccshs.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=61&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D3%26sort_id%3D-1
{'$oid': '452095a949222828e7b388c8'},Islands,Kwok Man School,國民學校,Aided,Primary,"30 Kwok Man Road, Cheung Chau, N.T.",29810432,info@cckms.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=62&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D3%26sort_id%3D-1
{'$oid': 'cbe992e025c17219f716a077'},Islands,Bui O Public School,杯澳公立學校,Aided,Primary,"DD 316 Lot 2724 (Pt) 2 Lo Uk Village, Pui O, Lantau Island, N.T.",29841189,info@buiosch.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=57&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D3%26sort_id%3D-1
{'$oid': '6fb73f17ab733bfda3003bc5'},Islands,C.C.C. Tai O Primary School,中華基督教會大澳小學,Aided,Primary,"24-26 Market Street, Tai O, Lantau Island, N.T.",29857515,taiopris@ccctaiops.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=63&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D3%26sort_id%3D-1
{'$oid': '116d041cf830f403b9c47b96'},Islands,Ching Chung Hau Po Woon Primary School,青松侯寶垣小學,Aided,Primary,"Fu Tung Estate, Tung Chung, Lantau Island, N.T.",21090070,mail@cchpwps.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=56&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D3%26sort_id%3D-1
{'$oid': 'dcaeda74242d472987a63ea0'},Islands,H.K.F.E.W. Wong Cho Bau School,香港教育工作者聯會黃楚標學校,Aided,Primary,"Yat Tung Estate, Tung Chung, Lantau Island, N.T.",21090087,head@hkfewwcb.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=64&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D3%26sort_id%3D-1
{'$oid': '8f816c285705a99821e9eb47'},Islands,Ho Yu College and Primary School (Sponsored by Sik Sik Yuen),嗇色園主辦可譽中學暨可譽小學,Aided,Primary,"4-6, Kin Tung Road, Tung Chung, N.T.",21091001,mail_ps@hoyu.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=70&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D3%26sort_id%3D-1
{'$oid': '0bc0af9598304698c74f27ab'},Islands,Ling Liang Church Sau Tak Primary School,靈糧堂秀德小學,Aided,Primary,"35 Man Tung Road, Tung Chung, Lantau Island, N.T.",21094688,school@llcst.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=68&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D3%26sort_id%3D-1
{'$oid': 'd5c93a986639c808c8474dda'},Islands,Mui Wo School,梅窩學校,Aided,Primary,"Chung Hau Village, Silver Mine Bay,  Lantau Island, N.T.",29848461,mws@mws.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=71&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D3%26sort_id%3D-1
{'$oid': '72b78d275fa5fef3062cb750'},Islands,P.O.C.A. Wan Ho Kan Primary School,寶安商會温浩根小學,Aided,Primary,"Primary School No 2, Fu Tung Estate, Tung Chung, Lantau Island, N.T.",21090045,school@pocawhk.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=65&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D3%26sort_id%3D-1
{'$oid': '9218cb875f4395f7e98f8688'},Islands,The Salvation Army Lam Butt Chung Memorial School,救世軍林拔中紀念學校,Aided,Primary,"8 Yat Tung Street, Yat Tung Estate, Tung Chung, Lantau Island, N.T.",21090328,lbcps@hkt.salvationarmy.org,Hong Kong,sch_detail.php?lang_id=1&sch_id=66&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D3%26sort_id%3D-1
{'$oid': '656d1712aaa65b7d933f5506'},Islands,Tung Chung Catholic School,東涌天主教學校,Aided,Primary,"Yat Tung Estate, Tung Chung, N.T.",21094962,tccs_pri@tccs.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=58&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D3%26sort_id%3D-1
{'$oid': '3d2d628aa27437dd95855c75'},Islands,Holy Family School,聖家學校,Aided,Primary,"1 Shing Ka Road, Peng Chau, New Territories",29830785,general@holyfamily.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=59&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D3%26sort_id%3D-1
{'$oid': '26229d84de0dfc03d9661865'},Islands,S.K.H. Wei Lun Primary School,聖公會偉倫小學,Aided,Primary,"Area 13, Discovery Bay, Lantau Island, N.T.",29878608,skhweilun@skhweilun.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=67&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D3%26sort_id%3D-1
{'$oid': 'fe6b3891c0830ed2e271560e'},Southern,Aberdeen St. Peter's Catholic Primary School,香港仔聖伯多祿天主教小學,Aided,Primary,"Shek Pai Wan Estate, Hong Kong",28735101,info@aspcps.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=254&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D4%26sort_id%3D-1
{'$oid': '5c8a0d6b9edafdd5f27c0855'},Southern,Aplichau Kaifong Primary School,鴨脷洲街坊學校,Aided,Primary,"9 Lei Tung Road, Lei Tung Estate, Ap Lei Chau, Hong Kong",28711669,akps@akps.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=240&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D4%26sort_id%3D-1
{'$oid': '3f415138e3134a8f01f9e196'},Southern,Hong Kong Southern District Government Primary School,香港南區官立小學,Gov't,Primary,"325 Apleichau Bridge Road, Apleichau, Hong Kong",25510030,hksdgps@edb.gov.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=247&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D4%26sort_id%3D-1
{'$oid': 'f8f12d882bdbb9374ef0a2d0'},Southern,Precious Blood Primary School (South Horizons),海怡寶血小學,Aided,Primary,"355 Ap Lei Chau Bridge Road, Ap Lei Chau, Hong Kong",25511378,info@pbpssh.edu.hk,Hong Kong,sch_detail.php?lang_id=1&sch_id=243&return_page=sch_list.php%3Flang_id%3D1%26search_mode%3D%26frmMode%3Dpagebreak%26district_id%3D4%26sort_id%3D-1
